sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
TCGA-AA-3552-01	1331.3205	726.0189	40.8862	51.9005	205.7724	1154.1795	195.9706	148.1931
TCGA-AA-3553-01	773.2101	697.1758	58.1864	54.077	213.8688	435.0881	62.9485	297.961
TCGA-AA-3555-01	431.0303	587.6225	13.8915	11.0486	137.8249	392.1858	26.1555	14.3522
TCGA-AA-3560-01	1522.3783	364.7703	27.4515	5.2347	240.8833	365.4502	55.7104	33.0828
TCGA-AA-3561-01	279.9935	203.1734	16.5934	8.6849	101.6331	391.134	28.6329	16.4072
TCGA-AA-3655-01	750.58	394.066	22.2531	24.1076	152.063	790.913	52.8512	19.4715
TCGA-AA-3660-01	466.184	337.198	25.6039	26.087	95.6522	553.14	33.8164	20.2899
TCGA-AA-3663-01	587.363	318.681	31.3187	14.8352	170.33	556.593	48.9011	25.8242
TCGA-AA-3664-01	384.7568	558.3838	33.4009	37.3161	109.3327	345.4075	72.8894	25.686
TCGA-AA-3666-01	698.7131	565.5617	20.1503	21.8669	132.706	689.8939	46.0667	76.6745
TCGA-AA-3667-01	358.3245	140.8191	10.668	23.2578	51.4237	945.3983	38.1276	22.7202
TCGA-AA-3673-01	598.3381	432.9224	15.5708	30.0611	110.1822	573.0028	42.9806	27.1982
TCGA-AA-3675-01	329.847	213.596	29.3644	18.5036	70.7965	657.683	13.6766	14.0788
TCGA-AA-3678-01	818.7173	589.0741	29.8145	26.181	114.177	712.9286	66.9746	63.9847
TCGA-AA-3679-01	481.319	216.9435	6.806	17.4656	82.4611	1068.5004	48.389	79.5523
TCGA-AA-3680-01	787.5133	788.6337	19.3022	28.0123	122.2981	582.5151	53.5654	54.1856
TCGA-AA-3681-01	743.4874	788.4238	35.8806	42.248	143.9982	667.6507	96.5007	68.4732
TCGA-AA-3684-01	1447.9326	374.2388	52.3912	139.8293	263.5319	2789.1787	86.8861	16.0128
TCGA-AA-3685-01	1010.64	626.692	77.3694	43.0368	298.839	611.702	81.7215	132.979
TCGA-AA-3688-01	488.2461	375.1373	20.4761	15.8473	71.7351	967.3	35.7411	49.0003
TCGA-AA-3692-01	1134.1266	713.0555	49.7801	30.3423	317.9592	685.7951	71.4822	44.4806
TCGA-AA-3693-01	302.356	199.3285	3.8479	3.8079	100.5569	500.3168	13.0291	3.074
TCGA-AA-3695-01	23.4629	7.6824	-0.0666	1.1158	5.7336	178.1064	6.6673	13.5488
TCGA-AA-3696-01	311.2536	243.1641	16.0091	4.7943	64.7014	545.0992	24.038	11.8586
TCGA-AA-3710-01	1173.0692	1994.3327	71.7714	213.3795	635.1535	1468.0577	406.392	113.7308
TCGA-AA-3712-01	552.756	321.703	24.4545	34.5736	128.175	608.412	52.7037	13.9138
TCGA-AA-3713-01	848.961	1066.32	55.9797	39.3788	201.527	805.335	89.1814	111.959
TCGA-AA-3715-01	1400.8395	665.6519	130.8813	97.7884	435.8959	2020.203	433.9289	68.2703
TCGA-AA-3811-01	786.1221	537.9766	28.3109	37.5825	190.4692	801.641	116.6864	64.6612
TCGA-AA-3812-01	868.5076	117.4202	20.0638	15.3115	134.3425	1635.4029	24.1817	19.8948
TCGA-AA-3814-01	1327.9928	919.9519	39.5434	33.2317	371.9042	705.2789	49.8386	66.0852
TCGA-AA-3818-01	419.5969	344.1553	14.5898	29.0342	140.0813	499.716	55.5416	14.398
TCGA-AA-3819-01	439.1609	329.3026	25.0708	12.0707	82.6738	679.3586	25.1203	24.941
TCGA-AA-3821-01	611.8248	816.5501	39.8732	20.7384	245.8117	504.433	56.4249	9.5104
TCGA-AA-3831-01	944.2605	537.8634	41.8638	41.2349	177.4207	806.5739	63.9217	120.0984
TCGA-AA-3833-01	719.2749	665.3687	41.5752	94.1327	234.5342	1962.8058	108.7379	61.89
TCGA-AA-3837-01	427.3021	275.9419	22.239	34.3631	62.7386	723.4527	42.0344	34.6635
TCGA-AA-3841-01	747.364	320.6978	29.3882	56.8161	86.0562	1486.3975	54.37	19.5508
TCGA-AA-3842-01	501.5675	390.7838	11.202	29.6251	293.7434	653.293	50.3568	25.7006
TCGA-AA-3844-01	433.3654	523.0798	22.708	25.0169	99.731	532.1499	57.9468	21.6192
TCGA-AA-3845-01	572.5824	1186.9355	61.0642	472.2992	234.507	629.4318	151.8804	80.0557
TCGA-AA-3846-01	572.4896	745.9259	62.8114	23.0698	168.0265	668.1838	38.5174	49.8089
TCGA-AA-3848-01	374.737	98.7912	17.3371	36.3246	53.7524	931.2901	62.1706	15.7237
