"replicate","mean_expression_log_cp10k","cell_detection_rate","tnkilc_vs_other_log2_cpm_ratio","standardized_distance_to_frozen","rho"
8855,0.179212862680647,0.135025228278996,3.8643756266455,1.18230860375443,0.778147112890635
4951,0.189953706095249,0.149484355745945,3.88881069772405,1.18257677248577,0.726876684042205
8968,0.176216821001367,0.139279341965629,4.12658595741337,1.18286837131558,0.819193674296794
523,0.201534155862023,0.145882814838426,4.10807572024398,1.18350622988191,0.753922087079147
1442,0.175613958308447,0.143465428705816,4.08418337659847,1.18563519663648,0.749036790813629
5015,0.173702663843539,0.135710842717813,3.99319690420457,1.18655580125736,0.769182342424014
4926,0.191827399023246,0.149497961135234,4.13536801842197,1.18658623085877,0.771750900254338
4635,0.183314307176095,0.149745773582999,3.92455902588446,1.18787947427692,0.842663241922893
1588,0.175756386974545,0.134108322222265,3.92476911388465,1.18807501425095,0.653748331696507
6266,0.174672110624153,0.13875602038476,3.93110815356385,1.18904689795301,0.766160509682456
5999,0.204662451243446,0.140060194129469,3.92132570204418,1.18916318190515,0.77321145274609
6687,0.174320973089761,0.133478587060886,4.021565703022,1.18973620893143,0.816423660950366
557,0.185628446687607,0.151302132936315,4.07452012662677,1.1916334668825,0.737150915363501
3643,0.186247181806332,0.142741913539695,3.82187337750527,1.19240707486881,0.803580871798746
255,0.175207321752819,0.136536398303602,3.91907023985538,1.19308691592617,0.754073178716225
3372,0.185729105925335,0.149690866119082,3.90122486336533,1.19330705233858,0.777844929616479
3607,0.174085123282503,0.13506167128602,3.96872425232677,1.19338332962744,0.71771045805948
5520,0.177719206314026,0.147874060742232,4.0327995839056,1.19353341614655,0.790133716098814
4146,0.179366896596327,0.142262809474016,3.86297978175714,1.1949550131957,0.767923245448364
8399,0.173928385896789,0.137170992532585,3.95380780096326,1.19775139836942,0.822014051522248
8214,0.17648086412121,0.144451333522513,4.09863250272464,1.19888235438898,0.802422502581149
6343,0.175620877423574,0.140980987440282,3.91133635628859,1.19991180262463,0.749943340636096
1062,0.175172438451229,0.131552938569724,4.02209234564827,1.20111952482536,0.77421873032661
1615,0.195883342769829,0.151335660502777,4.05644858975967,1.20459296235983,0.806350885145174
8597,0.179909788610939,0.137243878546633,4.17988470258064,1.2046759879723,0.793004457203294
465,0.173413188090414,0.136224446163475,4.0416347037704,1.20588142050959,0.708292412681625
2621,0.176330934784445,0.146487768755029,3.97862967294102,1.20771716963949,0.747828057717005
4116,0.173578389185923,0.137140866313445,3.96079437884141,1.21129759446258,0.727883961622724
