column,gene,median_crc_2d,rank_strongest_dependency,percentile_strongest_dependency
NUS1 (116150),NUS1,-1.5909311416978509,368.0,98.0194279546681
EXOSC6 (118460),EXOSC6,-1.5874725607305256,369.0,98.01403130059363
RPS13 (6207),RPS13,-1.5860159938183158,370.0,98.00863464651916
ARL2 (402),ARL2,-1.5847010698438335,371.0,98.00323799244468
RFC3 (5983),RFC3,-1.5803255037096366,372.0,97.99784133837021
ZPR1 (8882),ZPR1,-1.577449764643178,373.0,97.99244468429573
SAE1 (10055),SAE1,-1.5772252298149392,374.0,97.98704803022126
CENPK (64105),CENPK,-1.5764154748464143,375.0,97.98165137614679
NUP85 (79902),NUP85,-1.5744199908596417,376.0,97.97625472207233
NUP133 (55746),NUP133,-1.570412149317801,377.0,97.97085806799785
RPS27A (6233),RPS27A,-1.5695231977071489,378.0,97.96546141392338
SRSF1 (6426),SRSF1,-1.5691404947842116,379.0,97.96006475984889
