gene,raw_spearman_rho,qc_adjusted_rank_correlation,qc_adjusted_p,FDR_BH
TMEM218,0.1291577095954661,0.15234880537929146,0.16394367223479975,0.8545196146909353
ZNF557,0.1504201680672269,0.1522885286761392,0.1641124953077812,0.8545196146909353
ABHD12B,0.15493453195231582,0.15226592992850557,0.16417582304256717,0.8545196146909353
TIMM13,0.12390072307992964,0.15222416827458202,0.16429289792442453,0.8545196146909353
MATN3,0.15944889583740474,0.1520930954110811,0.16466074940456826,0.8545196146909353
UCK2,0.11172562048075045,0.15207589621755335,0.16470906350575998,0.8545196146909353
CITED1,0.18360367402775063,0.15206174425984323,0.16474882550281356,0.8545196146909353
ARHGEF7,0.13879226109048268,0.15197892135259458,0.16498167088186613,0.8545196146909353
GPR37L1,0.12274770373265585,0.15196754564600784,0.1650136711279099,0.8545196146909353
RIC8B,0.1478014461598593,0.1519590911985087,0.1650374567451277,0.8545196146909353
TM2D3,0.14057064686339654,0.15193777253350266,0.16509744561169176,0.8545196146909353
GCLM,0.17957787766269298,0.15188367726459165,0.16524973730903242,0.8545196146909353
IFT25,0.16025014657025602,0.15185269550981076,0.1653370054269098,0.8545196146909353
ZEB2,0.15823724838772718,0.15182251425038878,0.16542205148204803,0.8545196146909353
CCDC91,0.153077975376197,0.15171373884292194,0.16572883167833302,0.8545196146909353
TREML2,0.17066640609732264,0.1516805075524435,0.16582263791547724,0.8545196146909353
SLCO1C1,0.1518858706273207,0.15162880510704396,0.16596866301756721,0.8545196146909353
CSNK2A1,0.14103967168262652,0.15162833622232413,0.16596998774014404,0.8545196146909353
ARL9,0.12083251905413327,0.15159981693393632,0.16605057690771402,0.8545196146909353
ERICH3,0.12648035958569473,0.15157092959582905,0.16613223555546142,0.8545196146909353
MEIS3,0.10971272229822161,0.15154056105705493,0.16621811322364577,0.8545196146909353
SCRN3,0.13242134062927496,0.1515006351987159,0.16633106742161463,0.8545196146909353
BRME1,0.17035372288450262,0.1514671341247628,0.16642588898368682,0.8545196146909353
RANBP3L,0.12042212233730701,0.15136290787528373,0.16672114652163578,0.8545196146909353
TREML4,0.14604260308774672,0.15130349212993557,0.16688963543905197,0.8545196146909353
ANAPC13,0.15655657611881962,0.1512402667596505,0.16706906549709868,0.8545196146909353
UBXN1,0.18034004299394174,0.151032088531467,0.16766086945423628,0.8545196146909353
ABCF2,0.12300175884307211,0.15093093566883972,0.16794898173210898,0.8545196146909353
SERPINF1,0.19386359194840727,0.15091419343253798,0.16799670359222887,0.8545196146909353
CAGE1,0.13795192495602893,0.15089052931182098,0.16806417255324488,0.8545196146909353
UNC13B,0.12364666796951339,0.1508704772068744,0.16812135889900687,0.8545196146909353
SRXN1,0.1385577486808677,0.15085907489907807,0.16815388339319262,0.8545196146909353
HSFX1,0.14289622825874534,0.1507992658083174,0.1683245617038148,0.8545196146909353
ZNF845,0.14717607973421926,0.1507878298817962,0.1683572111539016,0.8545196146909353
FAM193B,0.1629079538792261,0.15070388005423052,0.16859702992143835,0.8545196146909353
CTSS,0.1394957983193277,0.15068927548814393,0.1686387763523179,0.8545196146909353
FABP3,0.12413523548954467,0.15060299285894516,0.16888556640413138,0.8545196146909353
ZCCHC4,0.12335352745749463,0.15058197795680095,0.16894571458492386,0.8545196146909353
S100A1,0.17320695720148527,0.1505709274363849,0.16897734936028586,0.8545196146909353
NDUFA6,0.11623998436583938,0.15055682013084806,0.16901774125901786,0.8545196146909353
HOXA11,0.1867109634551495,0.1504728486792386,0.16925831464623448,0.8545196146909353
SERGEF,0.17473128786398281,0.15045532636228112,0.1693085468601459,0.8545196146909353
GBP7,0.1393199140121165,0.1504305931133186,0.16937946974105178,0.8545196146909353
EFCAB13,0.13052569865155367,0.15039185168625574,0.16949060520003226,0.8545196146909353
RNF149,0.12536642564002345,0.15039039660634512,0.1694947803557036,0.8545196146909353
ZNF391,0.1311706077779949,0.1503877593449635,0.16950234781474274,0.8545196146909353
SOX5,0.12188782489740083,0.15038016611543664,0.16952413750811432,0.8545196146909353
ZNF470,0.1403361344537815,0.1503244631012836,0.16968404712038157,0.8545196146909353
SLC1A5,0.14236857533711159,0.15030670118130285,0.1697350605507862,0.8545196146909353
MYOT,0.14797733046707057,0.15024077497000585,0.1699245037794385,0.8545196146909353
GOLGA3,0.1717217119405902,0.15020880262056935,0.17001643440378858,0.8545196146909353
USP38,0.1568106312292359,0.15019114360346386,0.1700672253544894,0.8545196146909353
PXDNL,0.11835059605237444,0.15014725696548192,0.17019350066894398,0.8545196146909353
CWC27,0.14492866914207544,0.15012958777863616,0.17024435981095173,0.8545196146909353
FNTB,0.19474301348446355,0.15012683880432423,0.17025227348773553,0.8545196146909353
RETREG1,0.13521594684385382,0.15012306449024476,0.17026313932725326,0.8545196146909353
WDPCP,0.10672268907563025,0.15011413861087916,0.17028883799267291,0.8545196146909353
EIF4A1,0.16628884111784248,0.15011156492923466,0.17029624845741706,0.8545196146909353
N4BP2L1,0.15806136408051594,0.15006344354848786,0.17043484922267446,0.8545196146909353
GCN1,0.17713504006253666,0.14999510268576635,0.17063182937794052,0.8545196146909353
PCDH10,0.16234121555598985,0.14995392190990398,0.17075060632264322,0.8545196146909353
LAP3,0.15247215165135822,0.14992796428596675,0.1708255066503413,0.8545196146909353
PYY,0.09828024232948994,0.14991864287613937,0.17085240933115287,0.8545196146909353
OMA1,0.16185264803595856,0.14988817120934209,0.1709403758705855,0.8545196146909353
SNRPN,0.10576509673636897,0.14987694750045585,0.17097278520738163,0.8545196146909353
PROK2,0.14031659175298025,0.14979884362448412,0.1711984413762203,0.8545196146909353
RNF32,0.15317568888020328,0.14978571505887353,0.1712363936517734,0.8545196146909353
GLIS2,0.17393003713113153,0.14975869780101764,0.1713145150489435,0.8545196146909353
IKBKE,0.12466288841117842,0.14975192925738565,0.1713340906455112,0.8545196146909353
HYCC2,0.15043971076802815,0.14974717306186208,0.17134784722700913,0.8545196146909353
CFAP68,0.13656439319914013,0.14972517378745123,0.17141148738783124,0.8545196146909353
PLA2G4C,0.15782685167090094,0.14965187970229624,0.17162364007315828,0.8545196146909353
