ranking,pathway,size,ES,NES,p_value,FDR_BH
raw_spearman,HALLMARK_ANGIOGENESIS,35,-0.23629248048518628,-0.8679291254514268,0.6889174154899443,0.8754631289590057
raw_spearman,HALLMARK_MYOGENESIS,192,0.18401842123024362,0.9046575392725256,0.7135871463499825,0.8754631289590057
raw_spearman,HALLMARK_UV_RESPONSE_DN,141,-0.1872340193903442,-0.9031477842028589,0.7200883002207505,0.8754631289590057
raw_spearman,HALLMARK_SPERMATOGENESIS,124,0.19053649913645362,0.884560647783094,0.7353890283255647,0.8754631289590057
raw_spearman,HALLMARK_XENOBIOTIC_METABOLISM,188,0.17619043786568314,0.8642567828761785,0.8118565850195243,0.9051756283093446
raw_spearman,HALLMARK_MTORC1_SIGNALING,173,-0.17509877417297928,-0.8653596734250592,0.8171010516689529,0.9051756283093446
raw_spearman,HALLMARK_ESTROGEN_RESPONSE_LATE,190,0.17350641098632177,0.8532412385362179,0.8321855744835085,0.9051756283093446
raw_spearman,HALLMARK_MYC_TARGETS_V2,53,-0.19807651838349247,-0.7962729137401225,0.8327615780445969,0.9051756283093446
raw_spearman,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,43,-0.1977588598812104,-0.7638723106272993,0.856898029134533,0.9115936480154605
raw_spearman,HALLMARK_HEDGEHOG_SIGNALING,35,-0.1952968831866805,-0.7215152398095906,0.9072379367720466,0.9291450822236902
raw_spearman,HALLMARK_APICAL_SURFACE,42,-0.18622895302358425,-0.7186786121749263,0.9105621805792163,0.9291450822236902
raw_spearman,HALLMARK_COMPLEMENT,190,-0.15783652947976157,-0.7991004621011355,0.9481281010374379,0.948128101037438
qc_adjusted,HALLMARK_DNA_REPAIR,143,-0.2690558587877401,-1.3011727693917965,0.04313543599257885,0.4909180166912126
qc_adjusted,HALLMARK_NOTCH_SIGNALING,29,0.42256628556349013,1.4562502980508034,0.05456529647144416,0.4909180166912126
qc_adjusted,HALLMARK_G2M_CHECKPOINT,179,0.26017814422787017,1.269107888107334,0.05567300916138125,0.4909180166912126
qc_adjusted,HALLMARK_MYC_TARGETS_V1,171,0.260358312953234,1.2600741685192691,0.06392536281962681,0.4909180166912126
qc_adjusted,HALLMARK_HYPOXIA,187,0.2547618147089213,1.2485244878545438,0.06464146944542565,0.4909180166912126
qc_adjusted,HALLMARK_ADIPOGENESIS,184,-0.24455955511514563,-1.2307090193960217,0.06575963718820861,0.4909180166912126
qc_adjusted,HALLMARK_KRAS_SIGNALING_UP,190,0.253945629924128,1.2527168264797643,0.06872852233676977,0.4909180166912126
qc_adjusted,HALLMARK_PANCREAS_BETA_CELLS,37,-0.36350029464045774,-1.362306258682226,0.07947855340622371,0.49674095878889823
qc_adjusted,HALLMARK_APICAL_JUNCTION,188,0.2366618329185281,1.1583372779804355,0.14211257817929118,0.719506624029237
qc_adjusted,HALLMARK_ALLOGRAFT_REJECTION,183,-0.22766835164285426,-1.1469102477423843,0.1439013248058474,0.719506624029237
qc_adjusted,HALLMARK_KRAS_SIGNALING_DN,187,-0.2208603259951938,-1.1117273125519915,0.20510483135824978,0.7342459435663075
