set	gene
CMScaller_TGF_Beta	LRRN1
CMScaller_TGF_Beta	SPON2
CMScaller_TGF_Beta	PID1
CMScaller_TGF_Beta	MYO5A
CMScaller_TGF_Beta	ITGB6
CMScaller_TGF_Beta	MAP7D1
CMScaller_TGF_Beta	CLTB
CMScaller_TGF_Beta	ITGAV
exhaustion_expression_sensitivity	PDCD1
exhaustion_expression_sensitivity	CTLA4
exhaustion_expression_sensitivity	HAVCR2
exhaustion_expression_sensitivity	LAG3
exhaustion_expression_sensitivity	TIGIT
exhaustion_expression_sensitivity	TOX
exhaustion_expression_sensitivity	CXCL13
