k	target_gene	candidate_gene	rank	distance
25	HAVCR2	WAS	15	0.2957121606267964
25	HAVCR2	BCL11B	16	0.3185456475207636
25	HAVCR2	LBH	17	0.3210776116651934
25	HAVCR2	MYO1F	18	0.33599624976563847
25	HAVCR2	GPR65	19	0.35015331731409977
25	HAVCR2	AMICA1	20	0.3516163823293571
25	HAVCR2	APBB1IP	21	0.3612610007394874
25	HAVCR2	BIN2	22	0.3828549550639299
25	HAVCR2	RHOH	23	0.38658071133764765
25	HAVCR2	RCSD1	24	0.3886485771784816
25	HAVCR2	DOCK8	25	0.3920977992591387
25	HAVCR2	CMTM3	26	0.39829415013340613
25	HAVCR2	OXNAD1	27	0.39954231916373545
25	HAVCR2	SLFN5	28	0.40365808029345673
25	HAVCR2	TTC39C	29	0.4039412734570717
25	HAVCR2	DEF6	30	0.4107327632476381
25	HAVCR2	AKNA	31	0.41831625693424884
25	HAVCR2	GIMAP7	32	0.4197936931412201
25	HAVCR2	FAM129A	33	0.42426703501836416
25	HAVCR2	MAF	34	0.4249440391314303
25	HAVCR2	MYO1G	35	0.43521261669263356
25	HAVCR2	PIP4K2A	36	0.440741131255714
25	HAVCR2	CHST12	37	0.44474780290000815
25	HAVCR2	APOBEC3C	38	0.4479721773718719
25	HAVCR2	LPXN	39	0.4516940707156933
25	HAVCR2	CYFIP2	40	0.45502327786290486
25	HAVCR2	PDE4D	41	0.4578747541623452
25	HAVCR2	IL10RA	42	0.4579012409785706
25	HAVCR2	CD27	43	0.4657102231872744
25	HAVCR2	SEPT1	44	0.4783867444081009
25	HAVCR2	TRIM22	45	0.48173488127810893
25	HAVCR2	RP11-51J9.5	46	0.48606595638148786
25	HAVCR2	RP11-347P5.1	47	0.4906258207619922
25	HAVCR2	ITGB7	48	0.49829579487237863
25	HAVCR2	BCL2	49	0.49884837852129316
25	HAVCR2	PARP8	50	0.5038557692227076
25	HAVCR2	PBXIP1	51	0.5048884648336923
25	HAVCR2	LCP2	52	0.5081097680986639
25	HAVCR2	TNFRSF25	53	0.5104787064679076
25	HAVCR2	IL16	54	0.5173408337239388
25	HAVCR2	RUNX3	55	0.522964685352456
25	HAVCR2	PTPN7	56	0.5325371156929458
25	HAVCR2	CLIC3	57	0.5358157590178921
25	HAVCR2	ARHGAP15	58	0.5377031361708157
25	HAVCR2	SELPLG	59	0.5433466082403122
25	HAVCR2	TSPYL2	60	0.5489702607006811
25	HAVCR2	CCDC69	61	0.5553770056022344
25	HAVCR2	RIPOR2	62	0.5556699527305435
25	HAVCR2	STK10	63	0.5561271121476952
25	HAVCR2	XXbac-BPG246D15.8	64	0.5579296258526214
25	HAVCR2	PRMT9	65	0.5633551587493054
25	HAVCR2	PIK3IP1	66	0.5666849807970011
