sample_ID,library,distance,AUC_ROC,AUC_PR,COEFF,genes_depleted,SD_LFC,MEAN_LFC,TPR,FPR,order
HCM-SANG-1337-C18,minLib,20.9158181185034,0.90912409641467,0.914612285169158,2.40611105600946,1078,0.40970612812203,-0.101283381694995,0.726688102893891,0.0120300751879699,64
HCM-SANG-1338-C20,v1_1,30.9148102369549,0.982721272634964,0.981570654120526,2.74769982021082,1627,0.331500329682341,-0.103143135246375,0.913183279742765,0.0150375939849624,137
WTSI-COLIVM_031,minLib,38.0541274859392,0.975142035152189,0.979985633708955,2.16334615391687,984,0.473570853126634,-0.100675433343257,0.612540192926045,0.0105263157894737,33
WTSI-COLIVM_034,minLib,17.079698431624,0.866206513067234,0.871021514033665,2.73919269856478,1400,0.338154819053431,-0.101299864754026,0.871382636655949,0.0165413533834586,111
WTSI-COLIVM_036,minLib,19.2312139668759,0.985056693179895,0.987212260739629,2.62010799202009,1437,0.344580271951952,-0.101028390344025,0.881028938906752,0.0165413533834586,104
WTSI-COLIVM_040,minLib,11.911532519003,0.953480163431086,0.959517440697097,2.80431427034376,1671,0.317216556943268,-0.10145446953573,0.914790996784566,0.0150375939849624,141
WTSI-COLIVM_045,minLib,14.7428137474012,0.947206440538646,0.955617002136932,2.82562131469161,2007,0.319790464346016,-0.101467551276821,0.946945337620579,0.0210526315789473,167
WTSI-COLIVM_051,minLib,25.660792601285,0.980185189662259,0.983058652801401,2.30705761930237,1557,0.337116841844766,-0.101033829409838,0.868167202572347,0.0165413533834586,88
WTSI-COLIVM_058,minLib,20.1180074454128,0.972207044943549,0.977772960809668,2.57316553105785,1505,0.335985467315688,-0.10138928212493,0.872990353697749,0.0180451127819549,103
WTSI-COLIVM_059,minLib,32.6409860577479,0.990979861228634,0.991958695070076,2.31871722328089,1330,0.375842026883658,-0.101075690300299,0.794212218649518,0.0165413533834586,72
WTSI-COLIVM_060,minLib,23.9967692776996,0.817641370306796,0.812450645420551,2.0678495854724,1237,0.498550297781904,-0.101472203768318,0.734726688102894,0.0135338345864662,55
WTSI-COLIVM_061,minLib,33.4370264592648,0.980639702149264,0.982745080487874,1.87205702730037,580,0.470109335810748,-0.100539496065318,0.427652733118971,0.00601503759398492,11
WTSI-COLIVM_068,minLib,9.67149425588432,0.796378405821628,0.804541797782258,2.90566869922999,1674,0.308953243531519,-0.101466230561676,0.932475884244373,0.0165413533834586,155
WTSI-COLIVM_069,minLib,25.2002707906253,0.978480767835989,0.981640869108744,2.55983123896154,1370,0.373466419669771,-0.100870722697139,0.82475884244373,0.0165413533834586,89
WTSI-COLIVM_072,minLib,47.067095998772,0.973701133863598,0.976145032438629,1.70447505946249,355,0.556447074824671,-0.100344913770018,0.276527331189711,0.00451127819548869,2
WTSI-COLIVM_074,minLib,40.1482105184881,0.966150907816164,0.968309672217757,1.93441165793876,838,0.492460639772034,-0.100477334991533,0.5,0.00902255639097749,16
WTSI-COLIVM_080,minLib,24.1572525157049,0.925070715373643,0.932066416852662,2.49795877299182,1642,0.356992243470953,-0.101295812380641,0.868167202572347,0.0165413533834586,102
WTSI-COLIVM_084,minLib,34.4627420041081,0.986693421657037,0.98824305843991,2.14950134715889,1061,0.392073852645102,-0.100916277228009,0.684887459807074,0.0135338345864662,40
WTSI-COLIVM_085,minLib,39.192426852192,0.944563982303024,0.944206314427604,2.17704078486118,992,0.42306221957517,-0.100908694649696,0.614147909967846,0.0150375939849624,34
WTSI-COLIVM_086,minLib,13.7349330870644,0.963394821458792,0.966776363604579,2.59043654808363,1349,0.352139491358934,-0.101216148199277,0.82475884244373,0.0165413533834586,92
WTSI-COLIVM_087,minLib,19.6199441178871,0.938720595701472,0.946294594294585,2.54869189366049,2059,0.338098142387334,-0.101019493495686,0.913183279742765,0.0195488721804511,139
WTSI-COLIVM_090,minLib,37.5923646972572,0.96346251480792,0.966751163979171,2.20497915072634,1045,0.427589356569352,-0.10085528289271,0.667202572347267,0.0120300751879699,42
WTSI-COLIVM_092,minLib,23.2789319639767,0.952481686531441,0.95712203917822,2.56774134289874,1475,0.351280915891444,-0.10112774100075,0.877813504823151,0.0180451127819549,99
