gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent
SNAPC4,85,-1.32758838968816,-1.381093529873142,-1.56427820032696,-1.18032607680442,95.29411764705881,207,98.7561137612463
LSM7,85,-1.32697623612822,-1.3178913209807726,-1.46340212134532,-1.12681851020634,92.94117647058823,208,98.7500754785339
RPS7,85,-1.32688193044597,-1.3010088270714044,-1.49184617067481,-1.09813465446421,91.76470588235294,209,98.7440371958215
RPS20,85,-1.32677180079484,-1.348111274562758,-1.55945837173473,-1.13933686113892,92.94117647058823,210,98.73799891310911
GPN1,85,-1.32366098485063,-1.307714216244364,-1.51327665332582,-1.12906031801738,89.41176470588236,211,98.73196063039671
RPS4X,85,-1.32181962004656,-1.2668033495640658,-1.59140840646588,-0.94037344329715,85.88235294117646,212,98.72592234768432
CDC123,85,-1.32112976714904,-1.3695143127827538,-1.60622835286032,-1.10373007474728,92.94117647058823,213,98.71988406497192
ABCE1,85,-1.32033189297275,-1.3239640555389853,-1.62606713281359,-1.06649861872693,89.41176470588236,214,98.71384578225953
UPF1,85,-1.3168333941319,-1.294854975445063,-1.55196336025575,-1.07665857133565,89.41176470588236,215,98.70780749954713
NUP133,85,-1.31552793940956,-1.3056419364689649,-1.49422372587131,-1.09612242541709,96.47058823529412,216,98.70176921683473
CHD4,85,-1.31222543161157,-1.2817556583633414,-1.45534029472109,-1.10681906884723,88.23529411764706,217,98.69573093412234
RPL3,85,-1.31036784853142,-1.3440485200893268,-1.57251311271845,-1.13510613120718,91.76470588235294,218,98.68969265140994
POLD1,85,-1.31008981077196,-1.4079839490562174,-1.60074904609715,-1.20380133025958,98.82352941176471,219,98.68365436869753
LARS1,85,-1.30999246099526,-1.32148124391254,-1.51017060402878,-1.19549118347044,92.94117647058823,220,98.67761608598514
RUVBL1,85,-1.30850909237857,-1.356646386344123,-1.6281239564283,-1.1423262698131,96.47058823529412,221,98.67157780327275
